CommonName,NDF-RT,ICD11Code,Drugs
Multiple myeloma,"['N0000146229', 'N0000146273', 'N0000146334', 'N0000146409', 'N0000146452', 'N0000146473', 'N0000146476', 'N0000146478', 'N0000147066', 'N0000147829', 'N0000148056', 'N0000148314', 'N0000148588', 'N0000148713', 'N0000148811']",2,"['PREDNISONE', 'DEXAMETHASONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE', 'CYCLOPHOSPHAMIDE', 'CARMUSTINE', 'CISPLATIN', 'ETOPOSIDE', 'MELPHALAN', 'DOXORUBICIN', 'VINCRISTINE', 'PACLITAXEL', 'THALIDOMIDE', 'ZOLEDRONIC ACID', 'BORTEZOMIB']"
Multiple premature ventricular complexes,['N0000148010'],18,['QUINIDINE']
Multiple sclerosis,"['N0000146452', 'N0000147069', 'N0000148870', 'N0000148602']",8,"['CYCLOPHOSPHAMIDE', 'AZATHIOPRINE', 'NATALIZUMAB', 'MODAFINIL']"
Muscle pain,['N0000147806'],2,['DICLOFENAC']
Musculoskeletal pain,"['N0000148860', 'N0000146778']",21,"['DULOXETINE', 'CARISOPRODOL']"
Myasthenia gravis,"['N0000146229', 'N0000146452', 'N0000147064', 'N0000147069', 'N0000148406']",8,"['PREDNISONE', 'CYCLOPHOSPHAMIDE', 'CYCLOSPORINE', 'AZATHIOPRINE', 'MYCOPHENOLATE MOFETIL']"
Mycobacteriosis,"['N0000146109', 'N0000147838', 'N0000148093']",1,"['DOXYCYCLINE', 'ETHAMBUTOL', 'CLARITHROMYCIN']"
Mycosis,['N0000148767'],1,['VORICONAZOLE']
Mycosis fungoides (clinical),"['N0000146229', 'N0000146273', 'N0000146409', 'N0000146452', 'N0000146473', 'N0000147072', 'N0000147916', 'N0000148055', 'N0000148056', 'N0000148244', 'N0000148811']",1,"['PREDNISONE', 'DEXAMETHASONE', 'METHYLPREDNISOLONE', 'CYCLOPHOSPHAMIDE', 'CARMUSTINE', 'CHLORAMBUCIL', 'METHOTREXATE', 'VINBLASTINE', 'VINCRISTINE', 'FLUDARABINE', 'BORTEZOMIB']"
Myelodysplastic syndrome (clinical),"['N0000146478', 'N0000148588', 'N0000148698']",X,"['ETOPOSIDE', 'THALIDOMIDE', 'IMATINIB']"
Myeloproliferative disorder,['N0000148698'],X,['IMATINIB']
Myocardial infarction,"['N0000146183', 'N0000147662', 'N0000147701', 'N0000147835', 'N0000148627', 'N0000022101', 'N0000145909', 'N0000145914', 'N0000145918', 'N0000145994', 'N0000147537', 'N0000147924', 'N0000148343', 'N0000148456', 'N0000148603']",11,"['ISOSORBIDE DINITRATE', 'RAMIPRIL', 'AMIODARONE', 'ENALAPRIL', 'PERINDOPRIL', 'CLOPIDOGREL', 'NITROGLYCERIN', 'MORPHINE', 'ASPIRIN', 'CAPTOPRIL', 'LISINOPRIL', 'METOPROLOL', 'ENOXAPARIN', 'VALSARTAN', 'CANDESARTAN']"
Myofascial pain,['N0000147946'],21,['NORTRIPTYLINE']
Myxedema coma,['N0000020132'],21,['LEVOTHYROXINE']
Ménière's disease,['N0000146240'],1,['CHLORTHALIDONE']
Narcolepsy,"['N0000147875', 'N0000147910', 'N0000022300', 'N0000147779', 'N0000147920', 'N0000148062', 'N0000148602']",7,"['IMIPRAMINE', 'METHAMPHETAMINE', 'ATOMOXETINE', 'CLOMIPRAMINE', 'METHYLPHENIDATE', 'DEXTROAMPHETAMINE', 'MODAFINIL']"
Nasal congestion,['N0000147931'],13,['MOMETASONE']
Nasal discharge,['N0000147880'],21,['IPRATROPIUM']
Nausea and vomiting,"['N0000146214', 'N0000146289']",19,"['CHLORPROMAZINE', 'PERPHENAZINE']"
Nausea and vomiting caused by radiation,"['N0000147898', 'N0000147951', 'N0000147923']",14,"['MECLIZINE', 'ONDANSETRON', 'METOCLOPRAMIDE']"
Necrobiosis lipoidica diabeticorum,['N0000145980'],14,['TRIAMCINOLONE']
Neonatal hypocalcemia,['N0000020410'],X,['CALCIFEDIOL']
Neoplasm of breast,"['N0000021986', 'N0000022032', 'N0000022036', 'N0000022103', 'N0000146166', 'N0000146261', 'N0000146452', 'N0000146476', 'N0000146478', 'N0000147598', 'N0000147829', 'N0000147916', 'N0000148024', 'N0000148055', 'N0000148314', 'N0000148427', 'N0000148441', 'N0000148513', 'N0000148555', 'N0000148637', 'N0000148638', 'N0000148845']",2,"['VINORELBINE', 'IRINOTECAN', 'GEMCITABINE', 'RALOXIFENE', 'FLUOROURACIL', 'THIOTEPA', 'CYCLOPHOSPHAMIDE', 'CISPLATIN', 'ETOPOSIDE', 'CARBOPLATIN', 'DOXORUBICIN', 'METHOTREXATE', 'TAMOXIFEN', 'VINBLASTINE', 'PACLITAXEL', 'ANASTROZOLE', 'DOCETAXEL', 'LETROZOLE', 'CAPECITABINE', 'EXEMESTANE', 'EPIRUBICIN', 'BEVACIZUMAB']"
Neoplasm of central nervous system,['N0000147598'],2,['CARBOPLATIN']
Neoplasm of colon,"['N0000022032', 'N0000146166', 'N0000147887', 'N0000148555', 'N0000148774', 'N0000148833', 'N0000148845']",2,"['IRINOTECAN', 'FLUOROURACIL', 'LEUCOVORIN', 'CAPECITABINE', 'OXALIPLATIN', 'CETUXIMAB', 'BEVACIZUMAB']"
Neoplasm of head and neck,['N0000148056'],X,['VINCRISTINE']
Neoplasm of kidney,"['N0000147829', 'N0000148555', 'N0000022036', 'N0000148845', 'N0000171744', 'N0000180309']",2,"['DOXORUBICIN', 'CAPECITABINE', 'GEMCITABINE', 'BEVACIZUMAB', 'SUNITINIB', 'PAZOPANIB']"
Neoplasm of parenchyma of kidney,['N0000180309'],2,['PAZOPANIB']
Neoplasm of prostate,"['N0000146229', 'N0000146291', 'N0000146476', 'N0000147889', 'N0000148314', 'N0000148428', 'N0000148441']",16,"['PREDNISONE', 'HYDROCORTISONE', 'CISPLATIN', 'LEUPROLIDE', 'PACLITAXEL', 'BICALUTAMIDE', 'DOCETAXEL']"
Neoplasm of rectum,"['N0000022032', 'N0000147887', 'N0000148555', 'N0000148774', 'N0000148833', 'N0000148845']",9,"['IRINOTECAN', 'LEUCOVORIN', 'CAPECITABINE', 'OXALIPLATIN', 'CETUXIMAB', 'BEVACIZUMAB']"
Neoplasm of thyroid gland,"['N0000147829', 'N0000171744', 'N0000180309']",5,"['DOXORUBICIN', 'SUNITINIB', 'PAZOPANIB']"
Neoplasm of uncertain behavior of kidney,['N0000180309'],2,['PAZOPANIB']
Neoplastic disease,"['N0000145980', 'N0000146229', 'N0000146334', 'N0000146409']",3,"['TRIAMCINOLONE', 'PREDNISONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE']"
Neovascular angle closure glaucoma,['N0000148845'],9,['BEVACIZUMAB']
Nephroblastoma,"['N0000146452', 'N0000146478', 'N0000147829', 'N0000148056']",13,"['CYCLOPHOSPHAMIDE', 'ETOPOSIDE', 'DOXORUBICIN', 'VINCRISTINE']"
Nephrotic syndrome,"['N0000021914', 'N0000145980', 'N0000145995', 'N0000146229', 'N0000146273', 'N0000146409', 'N0000146452', 'N0000147064', 'N0000147072', 'N0000148255', 'N0000148406', 'N0000148560', 'N0000148372', 'N0000148832']",4,"['FLUVASTATIN', 'TRIAMCINOLONE', 'HYDROCHLOROTHIAZIDE', 'PREDNISONE', 'DEXAMETHASONE', 'METHYLPREDNISOLONE', 'CYCLOPHOSPHAMIDE', 'CYCLOSPORINE', 'CHLORAMBUCIL', 'PRAVASTATIN', 'MYCOPHENOLATE MOFETIL', 'RITUXIMAB', 'TACROLIMUS', 'MYCOPHENOLIC ACID']"
Nephrotic syndrome associated with another disorder,"['N0000146291', 'N0000146334']",6,"['HYDROCORTISONE', 'PREDNISOLONE']"
Neuroblastoma,"['N0000146452', 'N0000146476', 'N0000146478', 'N0000147829', 'N0000148056']",13,"['CYCLOPHOSPHAMIDE', 'CISPLATIN', 'ETOPOSIDE', 'DOXORUBICIN', 'VINCRISTINE']"
Neurogenic pain,['N0000146226'],4,['CARBAMAZEPINE']
Neurogenic urinary bladder,"['N0000022081', 'N0000147946']",21,"['TAMSULOSIN', 'NORTRIPTYLINE']"
Neuropathic pain,"['N0000021906', 'N0000023107', 'N0000147702', 'N0000147909', 'N0000148345']",14,"['VENLAFAXINE', 'PREGABALIN', 'AMITRIPTYLINE', 'METHADONE', 'GABAPENTIN']"
Neuropathy due to diabetes mellitus,"['N0000147028', 'N0000147800', 'N0000147875']",5,"['VALPROIC ACID', 'DESIPRAMINE', 'IMIPRAMINE']"
Nicotine dependence,"['N0000146207', 'N0000147946']",24,"['CLONIDINE', 'NORTRIPTYLINE']"
Nocardiosis,"['N0000007444', 'N0000146102']",1,"['MINOCYCLINE', 'SULFAMETHOXAZOLE']"
Nocturia,['N0000148025'],X,['TERAZOSIN']
Nocturnal enuresis,"['N0000022300', 'N0000145995', 'N0000147875', 'N0000147946']",6,"['ATOMOXETINE', 'HYDROCHLOROTHIAZIDE', 'IMIPRAMINE', 'NORTRIPTYLINE']"
Non-Hodgkin's lymphoma (clinical),"['N0000021986', 'N0000022032', 'N0000022036', 'N0000146229', 'N0000146261', 'N0000146334', 'N0000146452', 'N0000146473', 'N0000146476', 'N0000146478', 'N0000147072', 'N0000147079', 'N0000147598', 'N0000147796', 'N0000147829', 'N0000147916', 'N0000148055', 'N0000148056', 'N0000148244', 'N0000148560', 'N0000148638', 'N0000148774']",2,"['VINORELBINE', 'IRINOTECAN', 'GEMCITABINE', 'PREDNISONE', 'THIOTEPA', 'PREDNISOLONE', 'CYCLOPHOSPHAMIDE', 'CARMUSTINE', 'CISPLATIN', 'ETOPOSIDE', 'CHLORAMBUCIL', 'MERCAPTOPURINE', 'CARBOPLATIN', 'DAUNORUBICIN', 'DOXORUBICIN', 'METHOTREXATE', 'VINBLASTINE', 'VINCRISTINE', 'FLUDARABINE', 'RITUXIMAB', 'EPIRUBICIN', 'OXALIPLATIN']"
Non-Hodgkin's lymphoma of central nervous system,['N0000148560'],19,['RITUXIMAB']
Non-allergic rhinitis,"['N0000146188', 'N0000148122']",12,"['FUROSEMIDE', 'FLUTICASONE PROPIONATE']"
Non-intestinal amebic infection,['N0000147767'],1,['CHLOROQUINE']
Non-small cell lung cancer,"['N0000021986', 'N0000022032', 'N0000022036', 'N0000146476', 'N0000146478', 'N0000147598', 'N0000147829', 'N0000148055', 'N0000148314', 'N0000148441', 'N0000148638', 'N0000148774', 'N0000148810', 'N0000148831', 'N0000148872']",X,"['VINORELBINE', 'IRINOTECAN', 'GEMCITABINE', 'CISPLATIN', 'ETOPOSIDE', 'CARBOPLATIN', 'DOXORUBICIN', 'VINBLASTINE', 'PACLITAXEL', 'DOCETAXEL', 'EPIRUBICIN', 'OXALIPLATIN', 'GEFITINIB', 'PEMETREXED', 'ERLOTINIB']"
Nondiabetic gastroparesis,['N0000147923'],19,['METOCLOPRAMIDE']
Nongonococcal cervicitis,['N0000146109'],16,['DOXYCYCLINE']
Nongonococcal urethritis,"['N0000007444', 'N0000146109', 'N0000146194']",1,"['MINOCYCLINE', 'DOXYCYCLINE', 'METRONIDAZOLE']"
Nongonococcal urethritis caused by Ureaplasma urealyticum,['N0000007444'],1,['MINOCYCLINE']
Nonspecific ulcerative proctitis,['N0000005766'],13,['MESALAMINE']
Nonsquamous nonsmall cell neoplasm of lung,['N0000148845'],X,['BEVACIZUMAB']
Not getting enough sleep,['N0000147828'],3,['DOXEPIN']
Obesity,['N0000148390'],5,['LAMOTRIGINE']
Obsessive-compulsive disorder,"['N0000021906', 'N0000021981', 'N0000022085', 'N0000022289', 'N0000147779', 'N0000147852', 'N0000147875', 'N0000148257', 'N0000148335', 'N0000148390', 'N0000148449', 'N0000148583']",6,"['VENLAFAXINE', 'FLUVOXAMINE', 'QUETIAPINE', 'ESCITALOPRAM', 'CLOMIPRAMINE', 'FLUOXETINE', 'IMIPRAMINE', 'SERTRALINE', 'PAROXETINE', 'LAMOTRIGINE', 'MIRTAZAPINE', 'CITALOPRAM']"
Obstruction of urinary bladder outlet,['N0000022081'],21,['TAMSULOSIN']
Obstructive sleep apnea syndrome,"['N0000022122', 'N0000148602']",7,"['MONTELUKAST', 'MODAFINIL']"
Occupational asthma,['N0000021960'],12,['SALMETEROL']
Ocular rosacea,['N0000146194'],2,['METRONIDAZOLE']
Oligodendroglioma of brain,['N0000148314'],2,['PACLITAXEL']
Oligozoospermia,['N0000148025'],16,['TERAZOSIN']
Onychomycosis due to dermatophyte,['N0000021605'],1,['TERBINAFINE']
Open comedone,['N0000147467'],4,['DAPSONE']
Operation on gastrointestinal tract,['N0000147503'],X,['CIPROFLOXACIN']
Operation on heart,"['N0000021914', 'N0000148200']",18,"['FLUVASTATIN', 'SIMVASTATIN']"
Opioid abuse,['N0000147909'],X,['METHADONE']
Opioid dependence,"['N0000147909', 'N0000147939']",24,"['METHADONE', 'NALTREXONE']"
Opioid withdrawal,['N0000146207'],21,['CLONIDINE']
Optic neuritis,['N0000146229'],10,['PREDNISONE']
Oral lesion,['N0000145980'],2,['TRIAMCINOLONE']
Oral lichen planus,['N0000148372'],14,['TACROLIMUS']
Osler hemorrhagic telangiectasia syndrome,['N0000148845'],4,['BEVACIZUMAB']
Osteitis deformans,"['N0000148254', 'N0000148713']",4,"['PAMIDRONATE', 'ZOLEDRONIC ACID']"
Osteoarthritis,"['N0000006993', 'N0000145898', 'N0000145918', 'N0000145980', 'N0000146229', 'N0000147049', 'N0000147149', 'N0000147806', 'N0000148596', 'N0000148649', 'N0000147399']",15,"['IBUPROFEN', 'ACETAMINOPHEN', 'ASPIRIN', 'TRIAMCINOLONE', 'PREDNISONE', 'FENTANYL', 'NAPROXEN', 'DICLOFENAC', 'CELECOXIB', 'MELOXICAM', 'FLURBIPROFEN']"
Osteogenesis imperfecta,['N0000148254'],21,['PAMIDRONATE']
Osteomyelitis,"['N0000146932', 'N0000147185']",15,"['RIFAMPIN', 'CEPHALEXIN']"
Osteomyelitis caused by Staphylococcus aureus,['N0000146102'],15,['SULFAMETHOXAZOLE']
Osteopenia,"['N0000148713', 'N0000148254', 'N0000148414']",4,"['ZOLEDRONIC ACID', 'PAMIDRONATE', 'ALENDRONATE']"
Osteoporosis,"['N0000006226', 'N0000145995', 'N0000022103', 'N0000148414', 'N0000148713']",15,"['TESTOSTERONE', 'HYDROCHLOROTHIAZIDE', 'RALOXIFENE', 'ALENDRONATE', 'ZOLEDRONIC ACID']"
Osteoporosis caused by corticosteroid,"['N0000148254', 'N0000148713']",15,"['PAMIDRONATE', 'ZOLEDRONIC ACID']"
Osteosarcoma of bone,"['N0000022036', 'N0000146452', 'N0000146476', 'N0000146478', 'N0000147598', 'N0000147829', 'N0000147916', 'N0000148056', 'N0000148441']",13,"['GEMCITABINE', 'CYCLOPHOSPHAMIDE', 'CISPLATIN', 'ETOPOSIDE', 'CARBOPLATIN', 'DOXORUBICIN', 'METHOTREXATE', 'VINCRISTINE', 'DOCETAXEL']"
Otitis media,"['N0000146229', 'N0000147185']",10,"['PREDNISONE', 'CEPHALEXIN']"
Overdose of opiate,['N0000147939'],1,['NALTREXONE']
Pain,"['N0000006993', 'N0000145894', 'N0000145898', 'N0000145918', 'N0000147149', 'N0000147702', 'N0000147806', 'N0000147875', 'N0000147955']",8,"['IBUPROFEN', 'CODEINE', 'ACETAMINOPHEN', 'ASPIRIN', 'NAPROXEN', 'AMITRIPTYLINE', 'DICLOFENAC', 'IMIPRAMINE', 'OXYCODONE']"
Pain in eye,['N0000145914'],17,['MORPHINE']
Pain of breast,['N0000148024'],2,['TAMOXIFEN']
Panacinar emphysema,['N0000182968'],12,['INDACATEROL']
Pancytopenia,['N0000177933'],4,['ELTROMBOPAG']
Panic attack,['N0000147779'],21,['CLOMIPRAMINE']
Panic disorder,"['N0000006321', 'N0000021906', 'N0000021981', 'N0000022289', 'N0000146152', 'N0000146413', 'N0000147852', 'N0000147875', 'N0000148257', 'N0000148335', 'N0000148449', 'N0000148583']",6,"['DIAZEPAM', 'VENLAFAXINE', 'FLUVOXAMINE', 'ESCITALOPRAM', 'CLONAZEPAM', 'ALPRAZOLAM', 'FLUOXETINE', 'IMIPRAMINE', 'SERTRALINE', 'PAROXETINE', 'MIRTAZAPINE', 'CITALOPRAM']"
Paraphilia,"['N0000147889', 'N0000147899']",16,"['LEUPROLIDE', 'MEDROXYPROGESTERONE']"
Paraseptal emphysema,['N0000182968'],12,['INDACATEROL']
Parkinson's disease,"['N0000146151', 'N0000147608', 'N0000146299']",1,"['LEVODOPA', 'CLOZAPINE', 'CARBIDOPA']"
Parkinsonian tremor,['N0000148001'],8,['PROPRANOLOL']
Parkinsonism,['N0000147816'],8,['DIPHENHYDRAMINE']
Paroxysmal atrial fibrillation,"['N0000147996', 'N0000148010']",11,"['PROPAFENONE', 'QUINIDINE']"
Paroxysmal atrial flutter,"['N0000147996', 'N0000148010']",8,"['PROPAFENONE', 'QUINIDINE']"
Paroxysmal supraventricular tachycardia,"['N0000147814', 'N0000148054', 'N0000147996', 'N0000148010']",11,"['DILTIAZEM', 'VERAPAMIL', 'PROPAFENONE', 'QUINIDINE']"
Paroxysmal tachycardia,"['N0000147996', 'N0000148010']",8,"['PROPAFENONE', 'QUINIDINE']"
Paroxysmal ventricular tachycardia,"['N0000147996', 'N0000148010']",11,"['PROPAFENONE', 'QUINIDINE']"
Patent ductus arteriosus,['N0000006993'],19,['IBUPROFEN']
Pelvic congestion syndrome,['N0000147899'],4,['MEDROXYPROGESTERONE']
Pemphigoid,['N0000147467'],14,['DAPSONE']
Pemphigus,"['N0000146229', 'N0000147467']",14,"['PREDNISONE', 'DAPSONE']"
Pemphigus vulgaris,"['N0000147069', 'N0000148560']",14,"['AZATHIOPRINE', 'RITUXIMAB']"
Peptic ulcer,"['N0000146320', 'N0000147569', 'N0000148012', 'N0000148407', 'N0000148623', 'N0000148654', 'N0000148700']",13,"['FAMOTIDINE', 'OMEPRAZOLE', 'RANITIDINE', 'LANSOPRAZOLE', 'RABEPRAZOLE', 'PANTOPRAZOLE', 'ESOMEPRAZOLE']"
Percutaneous coronary intervention,"['N0000021914', 'N0000145918', 'N0000147602', 'N0000148200', 'N0000148255']",23,"['FLUVASTATIN', 'ASPIRIN', 'LOVASTATIN', 'SIMVASTATIN', 'PRAVASTATIN']"
Percutaneous transluminal angioplasty of peripheral artery,['N0000022101'],11,['CLOPIDOGREL']
Percutaneous transluminal coronary angioplasty,"['N0000145918', 'N0000148057']",13,"['ASPIRIN', 'WARFARIN']"
Perennial allergic rhinitis,"['N0000022010', 'N0000022047', 'N0000022122', 'N0000148122', 'N0000148729']",12,"['CETIRIZINE', 'AZELASTINE', 'MONTELUKAST', 'FLUTICASONE PROPIONATE', 'DESLORATADINE']"
Pericarditis,"['N0000006993', 'N0000145918', 'N0000146229', 'N0000145804']",11,"['IBUPROFEN', 'ASPIRIN', 'PREDNISONE', 'UNKNOWN DRUG']"
Perimenopausal disorder,['N0000021906'],16,['VENLAFAXINE']
Periodontitis,"['N0000007444', 'N0000146109', 'N0000146194', 'N0000147503']",13,"['MINOCYCLINE', 'DOXYCYCLINE', 'METRONIDAZOLE', 'CIPROFLOXACIN']"
Peripheral arterial occlusive disease,['N0000145918'],11,['ASPIRIN']
Peripheral nerve disease,['N0000148860'],8,['DULOXETINE']
Peripheral vascular disease,"['N0000022101', 'N0000147662']",20,"['CLOPIDOGREL', 'RAMIPRIL']"
Peripheral vertigo,"['N0000146205', 'N0000147898']",10,"['LORAZEPAM', 'MECLIZINE']"
Peritoneal dialysis-associated peritonitis,"['N0000146932', 'N0000148052']",13,"['RIFAMPIN', 'VANCOMYCIN']"
Peritonitis,['N0000147503'],1,['CIPROFLOXACIN']
Permanent atrial fibrillation,"['N0000147996', 'N0000148010']",11,"['PROPAFENONE', 'QUINIDINE']"
Persistent atrial fibrillation,"['N0000147996', 'N0000148010']",11,"['PROPAFENONE', 'QUINIDINE']"
Persistent insomnia,['N0000147828'],4,['DOXEPIN']
Persistent pulmonary hypertension of the newborn,['N0000022115'],11,['SILDENAFIL']
Pertussis,['N0000148093'],1,['CLARITHROMYCIN']
Pharyngeal candidiasis,['N0000148767'],19,['VORICONAZOLE']
Pharyngitis,['N0000146273'],1,['DEXAMETHASONE']
Pheochromocytoma,"['N0000146452', 'N0000148001', 'N0000148056']",3,"['CYCLOPHOSPHAMIDE', 'PROPRANOLOL', 'VINCRISTINE']"
Photophobia,['N0000147806'],21,['DICLOFENAC']
Plague,"['N0000146109', 'N0000147503']",1,"['DOXYCYCLINE', 'CIPROFLOXACIN']"
Plaque psoriasis,"['N0000145980', 'N0000148580', 'N0000148789']",14,"['TRIAMCINOLONE', 'INFLIXIMAB', 'ADALIMUMAB']"
Platelet dysfunction associated with uremia,['N0000146729'],16,"['ESTROGENS,CONJUGATED']"
Pleurisy,['N0000145918'],21,['ASPIRIN']
Pneumococcal meningitis,['N0000146932'],1,['RIFAMPIN']
Pneumocystosis pneumonia,"['N0000146102', 'N0000146103', 'N0000146229', 'N0000147467', 'N0000147988']",1,"['SULFAMETHOXAZOLE', 'TRIMETHOPRIM', 'PREDNISONE', 'DAPSONE', 'PRIMAQUINE']"
Poisoning by parasympathomimetic drug,['N0000147687'],9,['ATROPINE']
Poisoning by pyrimethamine,['N0000147887'],10,['LEUCOVORIN']
Poisoning due to bite of brown recluse spider,['N0000147467'],19,['DAPSONE']
Polycythemia vera (clinical),['N0000147076'],3,['BUSULFAN']
Polymorphous light eruption,"['N0000146334', 'N0000147871']",14,"['PREDNISOLONE', 'HYDROXYCHLOROQUINE']"
Polymyalgia rheumatica,"['N0000146229', 'N0000146334', 'N0000147916', 'N0000148580']",11,"['PREDNISONE', 'PREDNISOLONE', 'METHOTREXATE', 'INFLIXIMAB']"
Polymyositis,['N0000146229'],4,['PREDNISONE']
Polyneuropathy,['N0000147702'],8,['AMITRIPTYLINE']
Polyostotic fibrous dysplasia of bone,['N0000148024'],16,['TAMOXIFEN']
Polyporous comedone,['N0000147467'],X,['DAPSONE']
Porphyria cutanea tarda,"['N0000147871', 'N0000147767']",1,"['HYDROXYCHLOROQUINE', 'CHLOROQUINE']"
Portal hypertension,['N0000148001'],13,['PROPRANOLOL']
Post traumatic osteoarthritis,['N0000146229'],15,['PREDNISONE']
Post-episiotomy pain,"['N0000145918', 'N0000147806']",21,"['ASPIRIN', 'DICLOFENAC']"
Posterior rhinorrhea,['N0000147880'],X,['IPRATROPIUM']
Posterior uveitis,"['N0000145980', 'N0000146273']",X,"['TRIAMCINOLONE', 'DEXAMETHASONE']"
Postherpetic neuralgia,"['N0000023107', 'N0000147702', 'N0000147946', 'N0000148345']",18,"['PREGABALIN', 'AMITRIPTYLINE', 'NORTRIPTYLINE', 'GABAPENTIN']"
Postmenopausal osteoporosis,"['N0000020410', 'N0000145989', 'N0000146366', 'N0000146729', 'N0000148024', 'N0000148254', 'N0000148414', 'N0000148713']",15,"['CALCIFEDIOL', 'ESTRADIOL', 'ETHINYL ESTRADIOL', 'ESTROGENS,CONJUGATED', 'TAMOXIFEN', 'PAMIDRONATE', 'ALENDRONATE', 'ZOLEDRONIC ACID']"
Postoperative cardiac complication,['N0000021928'],X,['BISOPROLOL']
Postoperative depression,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",X,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Postoperative hypertension,['N0000145909'],X,['NITROGLYCERIN']
Postoperative infection,"['N0000146194', 'N0000148052']",X,"['METRONIDAZOLE', 'VANCOMYCIN']"
Postoperative nausea and vomiting,"['N0000146273', 'N0000146461', 'N0000147951', 'N0000147923']",X,"['DEXAMETHASONE', 'HALOPERIDOL', 'ONDANSETRON', 'METOCLOPRAMIDE']"
Postoperative pain,"['N0000147806', 'N0000147399']",X,"['DICLOFENAC', 'FLURBIPROFEN']"
Posttransplant diabetes mellitus,['N0000146198'],5,['CHLORPROPAMIDE']
Posttraumatic stress disorder,"['N0000021906', 'N0000021981', 'N0000147702', 'N0000147852', 'N0000147875', 'N0000148257', 'N0000148335', 'N0000148350', 'N0000148449']",6,"['VENLAFAXINE', 'FLUVOXAMINE', 'AMITRIPTYLINE', 'FLUOXETINE', 'IMIPRAMINE', 'SERTRALINE', 'PAROXETINE', 'RISPERIDONE', 'MIRTAZAPINE']"
Postviral depression,['N0000147828'],19,['DOXEPIN']
Pre-eclampsia,"['N0000145909', 'N0000147886']",18,"['NITROGLYCERIN', 'LABETALOL']"
Pre-existing type 2 diabetes mellitus,['N0000146198'],5,['CHLORPROPAMIDE']
Precocious puberty,"['N0000147628', 'N0000148024']",13,"['GOSERELIN ACETATE', 'TAMOXIFEN']"
Premature atrial contraction,['N0000148010'],11,['QUINIDINE']
Premature ejaculation,"['N0000147779', 'N0000148335']",X,"['CLOMIPRAMINE', 'PAROXETINE']"
Premature labor,"['N0000146273', 'N0000146717', 'N0000148026']",11,"['DEXAMETHASONE', 'NIFEDIPINE', 'TERBUTALINE']"
Premenstrual dysphoric disorder,"['N0000022289', 'N0000147852', 'N0000147889', 'N0000147899', 'N0000148257', 'N0000148335', 'N0000148583']",6,"['ESCITALOPRAM', 'FLUOXETINE', 'LEUPROLIDE', 'MEDROXYPROGESTERONE', 'SERTRALINE', 'PAROXETINE', 'CITALOPRAM']"
Primary Sjögren's syndrome,['N0000148560'],4,['RITUXIMAB']
Primary biliary cholangitis,['N0000147507'],13,['URSODIOL']
Primary cutaneous T-cell lymphoma,['N0000146478'],14,['ETOPOSIDE']
Primary dysmenorrhea,"['N0000006993', 'N0000147149', 'N0000147806', 'N0000148596']",1,"['IBUPROFEN', 'NAPROXEN', 'DICLOFENAC', 'CELECOXIB']"
Primary dysthymia,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",8,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Primary dysthymia early onset,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",1,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Primary dysthymia late onset,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",1,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Primary fibromyalgia syndrome,"['N0000023107', 'N0000147791', 'N0000147852', 'N0000148335', 'N0000148860']",4,"['PREGABALIN', 'CYCLOBENZAPRINE', 'FLUOXETINE', 'PAROXETINE', 'DULOXETINE']"
Primary hypercholesterolemia,"['N0000147784', 'N0000148785']",1,"['COLESTIPOL', 'EZETIMIBE']"
Primary insomnia,['N0000147828'],8,['DOXEPIN']
Primary malignant neoplasm of kidney,['N0000180309'],2,['PAZOPANIB']
Primary malignant neoplasm of ovary,"['N0000146166', 'N0000146452', 'N0000147072']",2,"['FLUOROURACIL', 'CYCLOPHOSPHAMIDE', 'CHLORAMBUCIL']"
Primary malignant neoplasm of unknown site,['N0000146166'],2,['FLUOROURACIL']
Primary myelofibrosis,['N0000146229'],1,['PREDNISONE']
Prinzmetal angina,"['N0000146717', 'N0000148054', 'N0000148333']",21,"['NIFEDIPINE', 'VERAPAMIL', 'AMLODIPINE']"
Proctosigmoiditis,['N0000005766'],13,['MESALAMINE']
Progressive angina,"['N0000145918', 'N0000146183', 'N0000147814', 'N0000148054']",8,"['ASPIRIN', 'ISOSORBIDE DINITRATE', 'DILTIAZEM', 'VERAPAMIL']"
Proliferative vitreoretinopathy,['N0000146166'],2,['FLUOROURACIL']
Prostatitis,['N0000147503'],15,['CIPROFLOXACIN']
Prosthetic cardiac valve component embolism,['N0000148057'],11,['WARFARIN']
Prosthetic cardiac valve thrombosis,"['N0000145918', 'N0000148343']",11,"['ASPIRIN', 'ENOXAPARIN']"
